id,name,phone_number
supp_c39b0715-be0c-4c81-8295-bf3c5c4f1789,Pharma Depot Plus North,+33 145 41 38 27
supp_c8b91bb3-837f-470f-b653-8936e88e026b,Health Products Express North,+33 921 85 64 14
supp_bee1ab3f-f76f-4b35-a7cd-16cf54b7c3d7,MedSupply Co. North,+33 439 74 87 13
supp_07647921-cb8b-4580-b1c3-22413cc45dd2,Health Supply Express South,+33 963 38 67 85
supp_ed3d22f9-73fc-4cc8-b0d2-95027c22662d,MediCare Solutions North,+33 399 64 53 45
supp_83b951a8-cd41-47f0-98d5-7ebc8cd35eb7,MediSupply Network South,+33 623 21 58 22
supp_51a834de-de1c-43f7-9b72-0d773529d6aa,Medical Distributors East,+33 515 68 78 25
supp_3278e37a-d1a6-4aeb-bba0-c591d49f5a8e,Pharma Solutions Plus North,+33 947 90 89 56
supp_b024a8e4-db69-40a3-843a-a9299150a51b,MedSupply Network Pro South,+33 215 94 39 47
supp_eae0bd53-8b17-49e5-ae3d-ae08fafb3d73,Pharma Solutions South,+33 258 45 68 91
supp_92e39561-455e-4b06-aece-c9116cbeef41,Health Products Pro South,+33 655 36 95 44
supp_15b829c0-3637-424a-8b61-a3f71bbe7210,MedSupply Solutions Global,+33 287 91 31 78
supp_c8b0d807-4c37-47c5-b7e1-82e1bc96004b,Medical Distributors Plus South,+33 369 58 44 91
supp_34d99cc5-d0ec-49bf-b43a-f81ce5baf8e4,MedSupply Solutions International,+33 497 51 17 39
supp_df04937c-24ca-4619-9e54-0d2c54f97f46,Health Products Inc. East,+33 744 18 37 82
supp_609be8c9-dfe5-45cd-b00a-54eee272c7e8,Pharma Warehouse Pro East,+33 493 73 60 92
supp_ecf96862-be55-452e-888a-545fadd49598,Pharma Network Pro South,+33 527 41 81 78
supp_8139fb65-40df-473e-b765-b8da435a5c05,Pharma Depot Global,+33 784 61 56 38
supp_f75883d9-3f63-46de-a047-fa0df60f9fe4,Pharma Direct International,+33 821 16 24 29
supp_38ec6da5-d8e6-4609-8056-5112dc2329d5,Pharma Depot Plus South,+33 786 18 59 58
supp_ad332097-74cd-4653-b363-60f5a546e621,Medical Products Express West,+33 942 80 11 97
supp_bf0d645c-ed75-43ba-86ff-4e4cbbaaee2b,Medical Distributors Plus North,+33 944 92 53 24
supp_e9d3bd60-9fa6-4ab0-9720-77a805b3a475,Pharmaceutical Network West,+33 368 10 43 74
supp_45215b6c-8b99-4a36-ac0b-dfb888bbe703,Pharma Solutions Network South,+33 923 90 48 91
supp_7dfc856d-fc44-421b-a0cb-904dd028d033,Pharma Direct Pro International,+33 429 57 30 79
supp_380511cb-8d24-4fa9-a0c9-30fc8cec41f6,MediCare Supply Pro International,+33 186 51 72 12
supp_d1bef76a-ab78-451e-827d-e0eb941416bc,Health Warehouse East,+33 540 17 40 82
supp_729a0a75-9175-4f66-ac4d-c42b2553b97e,Pharma Solutions North,+33 818 78 26 26
supp_7225db0a-18f0-43cd-8894-6d5c6e364fbd,Pharmaceutical Network Pro West,+33 931 43 77 87
supp_5bd2b1cf-373b-4c1f-90bb-b3ec647c1f03,Health Supply Network South,+33 998 35 49 61
supp_c45d20ba-07f0-49a2-9ac4-0a1f45be2df8,Pharmaceutical Network Pro Global,+33 666 76 67 25
supp_825fe84e-bf8e-4ffc-820a-e6cb8c77226f,Health Supply Chain South,+33 253 12 85 80
supp_c6a9602f-cc47-47a5-a095-aabe5cec29ee,Medical Products Ltd International,+33 410 19 90 17
supp_ffcdc300-373b-46dc-9437-88b5f33ad35d,Medical Products Ltd North,+33 152 19 75 40
supp_f0fed132-544a-42e3-8391-96b627a37dc4,MediCare Solutions Global,+33 837 79 26 83
supp_e5b4ca81-a77e-42b2-9800-0255eda60183,MedSupply Network Pro West,+33 470 62 34 22
supp_2184357d-70cb-457e-bb3d-fc2242ad95a1,Medical Supply Pro Global,+33 755 64 62 69
supp_a3d1a600-af33-4325-bb6d-2d8a84aa14d2,Medical Distributors Plus North,+33 217 61 53 23
supp_5b94e0bf-59c9-42ef-b70f-6893e8189c65,Health Supply Chain South,+33 478 67 27 64
supp_a7416a42-948c-4bbc-8961-b8378bf9b1ae,Health Distributors East,+33 841 19 66 80
supp_f2fee79d-ada6-4944-ba7b-c8f7f9b9a1a5,Medical Supply Pro North,+33 911 21 40 31
supp_bbfa1b7a-d311-4b5f-911d-190b1ab27773,Pharmaceutical Depot West,+33 837 61 17 31
supp_31cc3ce5-cbe1-4f32-9c42-88d3cf11c319,Pharma Solutions Plus North,+33 743 68 46 64
supp_f9a0d95c-c697-4220-b4aa-b78ad5b9bc67,MedSupply Solutions Global,+33 994 72 29 34
supp_bd66f9df-025c-4d09-9e25-e73c44578abb,Pharmaceutical Network South,+33 184 79 17 50
supp_06f4dbec-560a-4089-96dc-47cae388d49a,Pharmaceutical Express North,+33 874 77 30 17
supp_1a707e91-ba9e-48c3-b141-5941e5f088ac,Pharma Direct Pro North,+33 318 86 18 96
supp_39332abb-9170-40a7-b9e4-b0d3e63ea424,Health Supply Chain West,+33 282 41 84 86
supp_d1167f35-4b90-4da4-bd46-84050693cc3a,Health Products Inc. International,+33 263 94 84 82
supp_eb379a89-1ba9-4809-941b-6c674fb270c1,MediCare Warehouse East,+33 536 95 50 40
